time,open,high,low,close
1733227200.003,94350,94350,94200,94200
1733227200.004,94200,94200,94050,94050
1733227200.005,94050,94050,93900,93900
1733227200.006,93900,93900,93750,93750
1733230800,93900,94050,93900,94050
1733230800.001,94050,94200,94050,94200
1733230800.002,94200,94350,94200,94350
1733230800.003,94350,94500,94350,94500
1733230800.004,94500,94650,94500,94650
1733230800.005,94650,94800,94650,94800
1733230800.006,94800,94950,94800,94950
1733230800.007,94950,95100,94950,95100
1733230800.008,95100,95250,95100,95250
1733234400,95250,95400,95250,95400
1733234400.001,95400,95550,95400,95550
1733234400.002,95550,95700,95550,95700
1733238000,95550,95550,95400,95400
1733238000.001,95400,95400,95250,95250
1733241600,95400,95550,95400,95550
1733241600.001,95550,95700,95550,95700
1733241600.002,95700,95850,95700,95850
1733245200,95700,95700,95550,95550
1733256000,95700,95850,95457.75,95850
1733256000.001,95850,96000,95850,96000
1733259600,96000,96150,96000,96150
1733266800,96000,96000,95850,95850
1733270400,96000,96150,96000,96150
1733270400.001,96150,96300,96150,96300
1733274000,96150,96150,96000,96000
1733274000.001,96000,96000,95850,95850
1733284800,96000,96150,95838.5,96150
1733284800.001,96150,96300,96150,96300
1733284800.002,96300,96450,96300,96450
1733292000,96450,96600,96450,96600
1733299200,96600,96750,96600,96750
1733306400,96600,96600,96450,96450
1733306400.001,96450,96450,96300,96300
1733310000,96300,96300,96150,96150
1733313600,96150,96150,96000,96000
1733313600.001,96000,96000,95850,95850
1733324400,95850,95850,95700,95700
1733324400.001,95700,95700,95550,95550
1733324400.002,95550,95550,95400,95400
1733324400.003,95400,95400,95250,95250
1733324400.004,95250,95250,95100,95100
1733328000,95250,95400,95250,95400
1733328000.001,95400,95550,95400,95550
1733331600,95550,95700,95550,95700
1733331600.001,95700,95850,95700,95850
1733331600.002,95850,96000,95850,96000
1733331600.003,96000,96150,96000,96150
1733335200,96150,96300,96150,96300
1733335200.001,96300,96450,96300,96450
1733335200.002,96450,96600,96450,96600
1733335200.003,96600,96750,96600,96750
1733335200.004,96750,96900,96750,96900
1733335200.005,96900,97050,96900,97050
1733335200.006,97050,97200,97050,97200
1733338800,97200,97350,97200,97350
1733338800.001,97350,97500,97350,97500
1733338800.002,97500,97650,97500,97650
1733338800.003,97650,97800,97650,97800
1733338800.004,97800,97950,97800,97950
1733338800.005,97950,98100,97950,98100
1733338800.006,98100,98250,98100,98250
1733338800.007,98250,98400,98250,98400
1733338800.008,98400,98550,98400,98550
1733338800.009,98550,98700,98550,98700
1733338800.01,98700,98850,98700,98850
1733342400,98700,98700,98550,98550
1733342400.001,98550,98550,98400,98400
