Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
34,Entry short,2025-06-02 06:00:00,Short,42120,1,21060,20.6,0.10,36.55,0.17,-0.95,0.00,3055.4,30.55
35,Exit long,2025-06-03 18:00:00,Session End,42600,1,21127.5,170.6,0.81,179.05,0.85,-0.95,0.00,3226,32.26
35,Entry long,2025-06-03 04:00:00,Long,42255,1,21127.5,170.6,0.81,179.05,0.85,-0.95,0.00,3226,32.26
36,Exit long,2025-06-05 03:00:00,Close entry(s) order Long,42540,1,21277.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3216.6,32.17
36,Entry long,2025-06-05 00:00:00,Long,42555,1,21277.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3216.6,32.17
37,Exit short,2025-06-05 10:00:00,Close entry(s) order Short,42495,1,21262.5,13.1,0.06,29.05,0.14,-0.95,0.00,3229.7,32.30
37,Entry short,2025-06-05 09:00:00,Short,42525,1,21262.5,13.1,0.06,29.05,0.14,-0.95,0.00,3229.7,32.30
38,Exit short,2025-06-06 10:00:00,Close entry(s) order Short,42705,1,21412.5,58.1,0.27,74.05,0.35,-0.95,0.00,3287.8,32.88
38,Entry short,2025-06-06 07:00:00,Short,42825,1,21412.5,58.1,0.27,74.05,0.35,-0.95,0.00,3287.8,32.88
39,Exit short,2025-06-09 08:00:00,Close entry(s) order Short,42720,1,21390,28.1,0.13,46.05,0.22,-0.95,0.00,3315.9,33.16
39,Entry short,2025-06-09 06:00:00,Short,42780,1,21390,28.1,0.13,46.05,0.22,-0.95,0.00,3315.9,33.16
