Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
83,Entry short,2024-09-23 11:00:00,[R001S rA:41 hA:36 PS:D CD:30],1.6284,1000,1628.4,1.43,0.13,1.94,0.18,-0.1,-0.01,117.07,11.71
84,Exit long,2024-10-07 21:00:00,[ExitL rA:30 hA:33 PS:U CD:30],1.6248,1000,1623.6,0.61,0.06,1.53,0.14,-0.1,-0.01,117.68,11.77
84,Entry long,2024-10-07 16:00:00,[R001L rA:40 hA:33 PS:U CD:30],1.6236,1000,1623.6,0.61,0.06,1.53,0.14,-0.1,-0.01,117.68,11.77
85,Exit long,2024-10-08 11:00:00,[ExitL rA:53 hA:37 PS:U CD:30],1.632,1000,1632.6,-0.6,-0.05,0.5,0.04,-0.5,-0.05,117.08,11.71
85,Entry long,2024-10-08 10:00:00,[R001L rA:43 hA:31 PS:U CD:30],1.6326,1000,1632.6,-0.6,-0.05,0.5,0.04,-0.5,-0.05,117.08,11.71
86,Exit short,2024-10-25 16:00:00,[ExitS rA:54 hA:38 PS:D CD:30],1.6326,1000,1632,-0.59,-0.05,0.54,0.05,-0.5,-0.05,116.48,11.65
86,Entry short,2024-10-25 15:00:00,[R001S rA:43 hA:33 PS:D CD:30],1.632,1000,1632,-0.59,-0.05,0.54,0.05,-0.5,-0.05,116.48,11.65
87,Exit long,2024-10-28 08:00:00,[ExitL rA:54 hA:48 PS:U CD:30],1.6374,1000,1633.8,2.18,0.20,2.68,0.25,-0.1,-0.01,118.67,11.87
87,Entry long,2024-10-27 23:00:00,[R002L rA:NaN hA:61 PS:U CD:30],1.6338,1000,1633.8,2.18,0.20,2.68,0.25,-0.1,-0.01,118.67,11.87
88,Exit long,2024-10-30 06:00:00,[ExitL rA:44 hA:32 PS:U CD:30],1.6518,1000,1647.6,2.56,0.24,3.6,0.33,-0.1,-0.01,121.23,12.12
88,Entry long,2024-10-29 17:00:00,[R001L rA:53 hA:46 PS:U CD:30],1.6476,1000,1647.6,2.56,0.24,3.6,0.33,-0.1,-0.01,121.23,12.12
89,Exit long,2024-10-31 15:00:00,[ExitL rA:64 hA:55 PS:U CD:30],1.6584,1000,1658.4,-0.2,-0.02,0.69,0.06,-0.1,-0.01,121.03,12.10
89,Entry long,2024-10-31 14:00:00,[R001L rA:57 hA:50 PS:U CD:30],1.6584,1000,1658.4,-0.2,-0.02,0.69,0.06,-0.1,-0.01,121.03,12.10
90,Exit short,2024-11-06 13:00:00,[ExitS rA:47 hA:27 PS:D CD:30],1.629,1000,1636.2,4.58,0.42,5.48,0.50,-0.1,-0.01,125.62,12.56
90,Entry short,2024-11-06 08:00:00,[R001S rA:48 hA:27 PS:D CD:30],1.6362,1000,1636.2,4.58,0.42,5.48,0.50,-0.1,-0.01,125.62,12.56
91,Exit short,2024-11-07 09:00:00,[ExitS rA:70 hA:42 PS:D CD:30],1.6224,1000,1622.4,-0.19,-0.02,0.3,0.03,-0.49,-0.05,125.42,12.54
91,Entry short,2024-11-07 04:00:00,[R001S rA:44 hA:26 PS:D CD:30],1.6224,1000,1622.4,-0.19,-0.02,0.3,0.03,-0.49,-0.05,125.42,12.54
